HallwayType,TimeToSubway,SubwayStation,N_FacilitiesNearBy(ETC),N_FacilitiesNearBy(PublicOffice),N_SchoolNearBy(University),N_Parkinglot(Basement),YearBuilt,N_FacilitiesInApt,Size(sqf),SalePrice,SalePrice_binned,YearBuilt_ord,prediction_sale,prediction_price_binned
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,209734,Medium,4,244143.33208071068,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141,Low,4,106264.40073261224,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,144752,Low,5,202073.12886721315,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,389380,High,5,244251.69366224157,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,347787,High,4,325551.9228303204,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345,Medium,5,244251.69366224157,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,207079,Medium,4,190358.5645978353,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,Low,5,202073.12886721315,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,200000,Low,4,248832.36589744547,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,85132,Very Low,4,106264.40073261224,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,245132,Medium,4,163243.77294388833,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,256637,Medium,4,284510.4642824419,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,207964,Medium,4,208415.9563617874,Medium
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681,High,5,362579.80211734213,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,442477,Very High,4,372328.9025842054,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,435398,Very High,4,382001.4306011102,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,Very Low,4,136128.98128994135,Very Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,280530,Medium,4,315879.3948134156,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,207964,Medium,4,149077.2296598968,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,371681,High,4,349178.2617568588,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,163716,Low,4,149077.2296598968,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,263716,Medium,4,190358.5645978353,Medium
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,286725,Medium,5,232293.1596290525,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,138938,Low,4,106264.40073261224,Low
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,156,57522,Very Low,5,69797.15424764017,Very Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,302654,High,4,290884.41602781415,Medium
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,391150,High,5,361199.6957303127,High
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,215176,Medium,4,314471.9148425795,Medium
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,644,75221,Very Low,4,96330.4016886116,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,476106,Very High,4,382001.4306011102,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,241592,Medium,4,149077.2296598968,Low
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,914,411504,Very High,5,361833.9598625689,High
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,123008,Low,3,104478.67793641193,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,115929,Low,4,136128.98128994135,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,269026,Medium,4,284510.4642824419,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,348672,High,4,366806.2354426668,High
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,295575,Medium,4,314471.9148425795,Medium
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,61946,Very Low,3,110914.29073739285,Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,914,309292,High,5,305167.8619292062,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,442477,Very High,4,382001.4306011102,High
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,77876,Very Low,4,59509.874316552654,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,345132,High,4,284510.4642824419,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,263345,Medium,5,244251.69366224157,Medium
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,914,371681,High,5,362579.80211734213,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,323893,High,4,366806.2354426668,High
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,198230,Low,4,248832.36589744547,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,372566,High,4,318436.0656691799,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,164601,Low,4,190358.5645978353,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,109734,Low,4,136128.98128994135,Very Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,247787,Medium,4,314471.9148425795,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,158407,Low,4,149077.2296598968,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,640,126548,Low,4,104701.19373979745,Very Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,172566,Low,4,248832.36589744547,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,146017,Low,4,163243.77294388833,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,203539,Medium,4,233171.3935251194,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,161946,Low,4,190358.5645978353,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,183628,Low,4,106264.40073261224,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,195575,Low,4,149077.2296598968,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,309292,High,4,314471.9148425795,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,331858,High,4,284510.4642824419,High
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,241592,Medium,4,262310.47870788723,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,138053,Low,4,149077.2296598968,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,218584,Medium,4,233171.3935251194,Medium
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,1167,380530,High,4,302427.68507308327,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,277876,Medium,4,318436.0656691799,Medium
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,63274,Very Low,4,59509.874316552654,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,258079,Medium,5,244251.69366224157,Medium
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,231415,Medium,4,262310.47870788723,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,141150,Low,4,136128.98128994135,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,250176,Medium,5,244251.69366224157,Medium
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,56637,Very Low,5,66467.26755329547,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,242035,Medium,4,284510.4642824419,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,432743,Very High,4,372328.9025842054,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,274336,Medium,4,233171.3935251194,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256,Very Low,4,136128.98128994135,Very Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,195575,Low,4,314471.9148425795,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,84955,Very Low,4,106264.40073261224,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761,Low,5,202073.12886721315,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,143389,Low,5,202073.12886721315,Low
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,130973,Low,4,93464.47549634287,Low
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,79646,Very Low,4,93464.47549634287,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,151327,Low,4,196696.1923877881,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,295460,Medium,4,315879.3948134156,Medium
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,206,72920,Very Low,5,95884.97233497724,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,495575,Very High,4,407399.13990705507,High
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,89380,Very Low,4,93464.47549634287,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,353982,High,5,243775.99556304934,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,277876,Medium,4,190358.5645978353,Medium
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,285840,Medium,4,248832.36589744547,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,280530,Medium,4,190358.5645978353,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,228318,Medium,3,160965.79788366705,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,469026,Very High,4,407399.13990705507,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,324778,High,3,234381.87119230675,Medium
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,2337,243362,Medium,4,374716.6947099925,Very High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,75221,Very Low,4,106264.40073261224,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1387,343362,High,4,366806.2354426668,High
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,159292,Low,4,234756.16233291477,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,265486,Medium,4,284510.4642824419,High
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,318584,High,4,211918.53156193392,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1629,371681,High,4,372328.9025842054,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,380530,High,5,244251.69366224157,Medium
terraced,0-5min,Banwoldang,0.0,0.0,0.0,203.0,2014,10,1252,460176,Very High,5,416175.12129297946,High
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,451,53097,Very Low,3,58573.27455435181,Very Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1334,376106,High,4,325551.9228303204,High
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,147141,Low,4,204501.8238147064,Medium
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,587,66371,Very Low,3,96801.9137946954,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,256637,Medium,4,314471.9148425795,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,203539,Medium,4,163243.77294388833,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,181415,Low,4,196696.1923877881,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,Low,5,202073.12886721315,Low
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,334513,High,4,262310.47870788723,Medium
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,914,186725,Low,4,211918.53156193392,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,153097,Low,4,136128.98128994135,Very Low
corridor,5min~10min,Daegu,2.0,5.0,0.0,76.0,1985,3,676,72566,Very Low,3,110914.29073739285,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,256637,Medium,4,314471.9148425795,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,168761,Low,4,190358.5645978353,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,402654,Very High,4,407399.13990705507,High
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1412,278761,Medium,4,290884.41602781415,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,252212,Medium,4,192717.9190884498,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,370796,High,4,349178.2617568588,High
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,168141,Low,4,106264.40073261224,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,2056,424778,Very High,4,393000.94132104097,Very High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,383185,High,4,349178.2617568588,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,251327,Medium,4,208415.9563617874,Medium
corridor,5min~10min,Sin-nam,1.0,5.0,2.0,18.0,1986,3,508,47787,Very Low,3,67611.53843900049,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,644,77876,Very Low,4,106264.40073261224,Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,644,262831,Medium,5,262355.0330019216,Low
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,818,291150,Medium,4,196696.1923877881,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,143362,Low,4,163243.77294388833,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,199115,Low,4,190358.5645978353,Medium
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,644,159292,Low,4,93464.47549634287,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,192035,Low,4,136128.98128994135,Very Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,44247,Very Low,4,94552.96762370039,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,229106,Medium,5,244251.69366224157,Medium
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,205309,Medium,4,234756.16233291477,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,74336,Very Low,4,59509.874316552654,Very Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,75920,Very Low,4,136128.98128994135,Very Low
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,910,349557,High,5,304533.59779695,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1394,241592,Medium,4,314471.9148425795,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,238938,Medium,4,284510.4642824419,High
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1366,374336,High,4,310032.06591678737,Medium
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,640,265486,Medium,5,261720.76886966545,Low
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,163716,Low,4,234756.16233291477,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,572,74256,Very Low,4,136128.98128994135,Very Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,193769,Low,4,244143.33208071068,Medium
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,829,265486,Medium,4,248832.36589744547,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,362831,High,5,244251.69366224157,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,1184,186725,Low,4,233171.3935251194,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,243362,Medium,4,268329.1992209507,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,426,98477,Very Low,5,167505.73365925765,Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,34513,Very Low,4,59509.874316552654,Very Low
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,281,104424,Low,5,107777.42481477838,Very Low
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,644,256637,Medium,5,319021.1309352843,Medium
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1419,362831,High,4,318436.0656691799,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,442477,Very High,4,407399.13990705507,High
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,1327,169911,Low,3,171710.6759555554,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1273,337168,High,4,315879.3948134156,Medium
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1092,415929,Very High,5,333392.6158146011,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,169026,Low,4,192717.9190884498,Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,228761,Medium,4,268329.1992209507,Medium
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,907,337168,High,5,304057.8996977578,Medium
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,132743,Low,4,136277.30442362744,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,448672,Very High,4,382001.4306011102,High
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,644,53097,Very Low,4,105335.45787205361,Very Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,199115,Low,4,284510.4642824419,High
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,462831,Very High,4,382001.4306011102,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,868,181061,Low,4,284510.4642824419,High
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,910,255442,Medium,5,244251.69366224157,Medium
terraced,0-5min,Sin-nam,0.0,3.0,2.0,475.0,2008,8,914,178761,Low,4,262310.47870788723,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1131,170796,Low,3,195374.62705855863,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,183185,Low,4,163243.77294388833,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,149274,Low,5,202073.12886721315,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,644,147761,Low,5,202073.12886721315,Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,1160,207079,Medium,4,244143.33208071068,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,274336,Medium,4,192717.9190884498,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123,Very High,4,382001.4306011102,High
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,271681,Medium,4,190358.5645978353,Medium
mixed,15min~20min,Chil-sung-market,1.0,7.0,3.0,56.0,1997,5,558,78761,Very Low,4,82693.72284510592,Very Low
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,576,57964,Very Low,4,94552.96762370039,Very Low
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,903,298230,Medium,4,234756.16233291477,Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,162831,Low,4,204501.8238147064,Medium
mixed,15min~20min,Myung-duk,1.0,5.0,4.0,79.0,1992,3,914,119469,Low,4,136277.30442362744,Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,811,181415,Low,4,192717.9190884498,Low
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,914,183628,Low,4,190358.5645978353,Medium
mixed,5min~10min,Bangoge,5.0,5.0,4.0,798.0,2005,7,743,141592,Low,4,163243.77294388833,Low
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,300884,High,4,208415.9563617874,Medium
corridor,5min~10min,no_subway_nearby,1.0,4.0,1.0,218.0,2014,1,135,53274,Very Low,5,66467.26755329547,Very Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,914,132743,Low,4,149077.2296598968,Low
terraced,5min~10min,no_subway_nearby,0.0,1.0,1.0,1321.0,2015,10,910,392035,High,5,361199.6957303127,High
corridor,5min~10min,Banwoldang,0.0,3.0,2.0,108.0,2014,2,288,101769,Low,5,108887.38704622677,Very Low
terraced,no_bus_stop_nearby,no_subway_nearby,2.0,2.0,1.0,203.0,2009,5,910,198256,Low,4,204501.8238147064,Medium
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1643,566371,Extreme,4,407399.13990705507,High
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,1377,307079,High,3,234381.87119230675,Medium
terraced,0-5min,Myung-duk,2.0,3.0,1.0,181.0,2006,4,857,254867,Medium,4,227462.12481197016,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,1270.0,2007,10,1928,348283,High,4,452590.45933029987,Extreme
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,5.0,1.0,0.0,1986,4,914,157522,Low,3,160965.79788366705,Low
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1690,422123,Very High,4,382001.4306011102,High
terraced,0-5min,Sin-nam,0.0,1.0,2.0,536.0,2006,5,1149,291150,Medium,4,249181.5493319775,Medium
terraced,0-5min,Myung-duk,5.0,7.0,5.0,1174.0,2014,9,1088,470796,Very High,5,332758.3516823449,High
corridor,0-5min,Kyungbuk_uni_hospital,0.0,3.0,2.0,0.0,1978,3,903,222123,Medium,3,104478.67793641193,Low
mixed,15min~20min,Myung-duk,5.0,6.0,5.0,536.0,1993,4,1288,185840,Low,4,208380.92602583906,Low
terraced,0-5min,Kyungbuk_uni_hospital,0.0,5.0,3.0,930.0,2013,7,907,252814,Medium,5,243775.99556304934,Medium
terraced,0-5min,Banwoldang,0.0,4.0,1.0,605.0,2007,5,1483,317699,High,4,349178.2617568588,High
corridor,10min~15min,Myung-duk,5.0,7.0,5.0,0.0,1992,3,355,38938,Very Low,4,59509.874316552654,Very Low
terraced,0-5min,Banwoldang,0.0,2.0,2.0,524.0,2007,4,1103,227433,Medium,4,268329.1992209507,Medium
terraced,10min~15min,Kyungbuk_uni_hospital,1.0,2.0,2.0,184.0,2006,5,910,230088,Medium,4,208415.9563617874,Medium
terraced,5min~10min,Daegu,0.0,3.0,2.0,400.0,2015,7,644,283185,Medium,5,232293.1596290525,Low
